Customer_ID,Customer_Name,Age,Gender,City,Customer_Segment,Account_Type,Tenure_Months,Digital_Engagement_Score,Monthly_Income_Band,Preferred_Channel,Account_Status
FT-C00001,Ibrahim Adeyemi,56,Male,Lagos,Premium,Savings,55,84.9,500k-999k,Mobile App,Active
FT-C00002,Yusuf Mohammed,46,Male,Kano,Everyday,Current,79,50.7,500k-999k,Mobile App,Active
FT-C00003,Emeka Adeyemi,32,Female,Port Harcourt,Everyday,Savings,43,56.1,1m+,Mobile App,Active
FT-C00004,David Williams,60,Female,Benin City,Premium,Premium,44,54,500k-999k,Mobile App,Dormant
FT-C00005,Blessing Adeyemi,25,Male,Kaduna,Premium,Savings,68,85.1,500k-999k,Mobile App,Active
FT-C00006,Samuel Eze,38,Male,Lagos,Everyday,Savings,33,36.6,500k-999k,Mobile App,Active
FT-C00007,Tunde Williams,56,Male,Kaduna,Everyday,Savings,24,97.5,Below 100k,Mobile App,Active
FT-C00008,Yusuf Eze,36,Female,Lagos,SME,Savings,36,62.5,100k-249k,USSD,Active
FT-C00009,Samuel Mohammed,40,Male,Lagos,Everyday,Premium,10,79.1,500k-999k,Web,Active
FT-C00010,Blessing Usman,28,Male,Lagos,Everyday,Savings,20,77.5,250k-499k,Mobile App,Active
FT-C00011,Chiamaka Bello,28,Male,Abuja,Premium,Savings,75,70.7,Below 100k,Web,Dormant
FT-C00012,Emeka Nwosu,41,Male,Ibadan,Everyday,Savings,12,57.2,100k-249k,Web,Active
FT-C00013,Ada Mohammed,53,Female,Lagos,Everyday,Savings,62,90.4,100k-249k,Mobile App,Dormant
FT-C00014,Ada Nwosu,57,Female,Lagos,Everyday,Savings,18,58.7,250k-499k,Web,Active
FT-C00015,Chiamaka Adeyemi,41,Male,Kaduna,Student,Current,94,54.8,500k-999k,Mobile App,Active
FT-C00016,Yusuf Adeyemi,20,Male,Benin City,Premium,Savings,63,83.8,1m+,Web,Active
FT-C00017,Daniel Eze,39,Male,Benin City,Premium,Premium,84,70.6,500k-999k,Mobile App,Active
FT-C00018,Mariam Garba,19,Male,Enugu,SME,Savings,25,92.4,500k-999k,Mobile App,Active
FT-C00019,Tunde Okafor,41,Male,Kano,Student,Savings,12,66.9,250k-499k,Mobile App,Active
FT-C00020,Daniel Adeyemi,61,Male,Lagos,Everyday,Current,21,56.3,100k-249k,USSD,Active
FT-C00021,Mariam Ibrahim,47,Female,Abuja,Everyday,Current,25,72.9,100k-249k,Web,Active
FT-C00022,Fatima Bello,55,Male,Kano,Premium,Savings,11,59.9,250k-499k,Mobile App,Active
FT-C00023,Tunde Ojo,19,Female,Lagos,Student,Current,64,56.8,Below 100k,Mobile App,Dormant
FT-C00024,David Eze,38,Female,Ibadan,Premium,Savings,73,83,250k-499k,Mobile App,Active
FT-C00025,David Okafor,50,Prefer not to say,Lagos,Premium,Savings,50,100,250k-499k,Mobile App,Active
FT-C00026,David Eze,29,Female,Lagos,Everyday,Premium,62,63.6,100k-249k,Mobile App,Active
FT-C00027,Emeka Eze,39,Female,Port Harcourt,Everyday,Savings,89,50.5,1m+,Mobile App,Active
FT-C00028,Blessing Garba,61,Female,Ibadan,Everyday,Savings,96,65.2,250k-499k,USSD,Active
FT-C00029,Grace Adebayo,42,Male,Port Harcourt,Everyday,Current,49,77.3,100k-249k,Web,Active
FT-C00030,Daniel Bello,44,Female,Ibadan,Everyday,Premium,14,72.6,250k-499k,Mobile App,Active
FT-C00031,Samuel Usman,59,Female,Lagos,Premium,Savings,1,89.5,250k-499k,Mobile App,Active
